# Kpath    Energy-Level (in eV)
# Band    1
       0.46199     -10.47426
       0.47910     -10.55717
       0.49621     -10.63835
       0.51332     -10.71761
       0.53043     -10.79488
       0.54755     -10.86997
       0.56466     -10.94280
       0.58177     -11.01322
       0.59888     -11.08103
       0.61599     -11.14604
       0.63310     -11.20806
       0.65021     -11.26689
       0.66732     -11.32224
       0.68443     -11.37379
       0.70154     -11.42127
       0.71865     -11.46434
       0.73576     -11.50263
       0.75287     -11.53028
       0.76999     -11.51637
       0.78710     -11.50517
       0.80421     -11.49698
       0.82132     -11.49189
       0.83843     -11.49022
       0.83843     -11.49022
       0.85267     -11.48495
       0.86691     -11.46938
       0.88115     -11.44380
       0.89539     -11.40897
       0.90963     -11.36563
       0.92387     -11.31474
       0.93811     -11.25719
       0.95236     -11.19370
       0.96660     -11.12510
       0.98084     -11.05197
       0.99508     -10.97501
       1.00932     -10.89468
       1.02356     -10.81133
       1.03780     -10.72549
       1.05204     -10.63737
       1.06628     -10.54731
       1.08052     -10.45547
       1.09476     -10.36224
       1.10901     -10.26752
       1.12325     -10.17172
       1.13749     -10.07492
       1.15173      -9.97726
       1.16597      -9.87878
       1.18021      -9.77979
       1.19445      -9.68034
       1.20869      -9.58038
       1.22293      -9.48036
       1.23717      -9.38029
       1.25141      -9.28016
       1.26565      -9.18024
       1.27990      -9.08080
       1.29414      -8.98197
       1.30838      -8.88390
       1.32262      -8.78685
       1.33686      -8.69109
       1.35110      -8.59692
       1.36534      -8.50467
       1.37958      -8.41466
       1.39382      -8.32768
       1.40806      -8.24420
       1.42230      -8.16498
       1.43655      -8.09081
       1.45079      -8.02276
       1.46503      -7.96192
       1.47927      -7.90955
       1.49351      -7.86698
       1.50775      -7.83550
       1.52199      -7.81622
       1.53623      -7.80965
       1.53623      -7.80965
       1.55849      -7.81679
       1.58075      -7.84294
       1.60302      -7.89233
       1.62528      -7.96181
       1.64754      -8.04711
       1.66980      -8.14479
       1.69206      -8.25218
       1.71432      -8.36717
       1.73659      -8.48803
       1.75885      -8.61344
       1.78111      -8.74219
       1.80337      -8.87348
       1.82563      -9.00649
       1.84789      -9.14065
       1.87016      -9.27547
       1.89242      -9.41040
       1.91468      -9.54524
       1.93694      -9.67937
       1.95920      -9.81236
       1.98146      -9.94397
       2.00373     -10.07381
       2.02599     -10.20161
       2.04825     -10.32682
       2.07051     -10.44921
       2.09277     -10.56819
       2.11503     -10.68295
       2.13730     -10.78955
       2.15956     -10.76146
       2.18182     -10.63364
       2.20408     -10.50336
       2.22634     -10.37392
       2.24860     -10.24711
       2.27087     -10.12516
       2.29313     -10.01148
       2.31539      -9.91173
       2.33765      -9.83380
       2.35991      -9.78685
       2.38217      -9.77557
       2.40444      -9.79553
       2.42670      -9.83702
       2.44896      -9.89069
       2.47122      -9.94955
       2.49348     -10.00906
       2.51574     -10.06561
       2.53801     -10.11640
       2.56027     -10.15886
       2.58253     -10.19097
       2.60479     -10.21103
       2.62705     -10.21786
       2.62705     -10.21786
       2.64129     -10.21663
